Make,Model,Year,Style,Distance,Engine_capacity,Fuel_type,Transmission,Price_euro,km_year,Dis_rating,Nalog_cof,Price_Ru
Nissan,Qashqai,2007,Crossover,137660.0,1500.0,Diesel,Manual,6600.0,9177.333333333334,low,0.6,411708.0
Opel,Astra,2011,Universal,213548.0,1300.0,Diesel,Manual,5650.0,19413.454545454544,large,0.6,352447.0
Toyota,Yaris,2006,Sedan,193096.0,1500.0,Petrol,Manual,3700.0,12068.5,medium,0.6,230806.0
Opel,Rare,1992,Coupe,400000.0,2000.0,Metan/Propan,Manual,1600.0,13333.333333333334,medium,0.6,99808.0
Renault,Kadjar,2016,Crossover,150425.0,1500.0,Diesel,Automatic,14990.0,25070.83333333333,large,0.6,935076.2000000001
Ford,Fusion,2018,Sedan,105000.0,2000.0,Hybrid,Automatic,15000.0,26250.0,large,0.6,935700.0
Volkswagen,Passat,2000,Combi,191000.0,1800.0,Metan/Propan,Automatic,3850.0,8681.818181818182,low,0.6,240163.0
Renault,Clio,1998,Hatchback,129448.0,1600.0,Petrol,Automatic,2399.0,5393.666666666667,low,0.6,149649.62
Renault,Rare,2015,Minivan,168000.0,1600.0,Diesel,Automatic,18650.0,24000.0,large,0.6,1163387.0
BMW,3 Series,1994,Sedan,180000.0,1600.0,Petrol,Manual,2400.0,6428.571428571428,low,0.6,149712.0
Skoda,Rare,2015,Crossover,150000.0,1400.0,Petrol,Automatic,11000.0,21428.571428571428,large,0.6,686180.0
Land Rover,Rare,2007,SUV,223000.0,2700.0,Diesel,Automatic,15000.0,14866.666666666666,medium,0.9,935700.0
Volkswagen,Sharan,2011,Universal,141000.0,1400.0,Petrol,Manual,9800.0,12818.181818181818,medium,0.6,611324.0
Volkswagen,Passat,2003,Sedan,250000.0,1922.0,Diesel,Automatic,4600.0,13157.894736842103,medium,0.6,286948.0
Mercedes,E Class,2006,Sedan,250000.0,2200.0,Diesel,Automatic,9999.0,15625.0,medium,0.9,623737.62
Opel,Astra,2011,Universal,176000.0,1300.0,Diesel,Manual,6000.0,16000.0,medium,0.6,374280.0
Renault,Grand Scenic,2014,Universal,167000.0,1500.0,Diesel,Automatic,8600.0,20875.0,large,0.6,536468.0
BMW,7 Series,2008,Sedan,387000.0,300.0,Petrol,Automatic,12000.0,27642.85714285714,large,0.6,748560.0
BMW,7 Series,2011,Sedan,180000.0,2999.0,Diesel,Automatic,22000.0,16363.636363636364,medium,0.9,1372360.0
Peugeot,Rare,2006,Minivan,170000.0,2000.0,Diesel,Automatic,2000.0,10625.0,medium,0.6,124760.0
Honda,CR-V,2013,SUV,178500.0,2200.0,Diesel,Manual,15700.0,19833.33333333333,large,0.9,979366.0
Skoda,Superb,2012,Sedan,265000.0,1800.0,Petrol,Automatic,8999.0,26500.0,large,0.6,561357.62
Mercedes,E Class,2002,Sedan,331200.0,2200.0,Diesel,Automatic,6399.0,16560.0,medium,0.9,399169.62
Skoda,Superb,2017,Sedan,120000.0,1999.0,Petrol,Automatic,23900.0,24000.0,large,0.6,1490882.0
Volkswagen,Jetta,2013,Sedan,110000.0,1400.0,Hybrid,Automatic,8000.0,12222.222222222224,medium,0.6,499040.0
Hyundai,ix35,2010,Pickup,190000.0,2000.0,Diesel,Automatic,12000.0,15833.333333333334,medium,0.6,748560.0
Toyota,Rare,2014,Hatchback,144947.0,1496.0,Hybrid,Automatic,7499.0,18118.375,medium,0.6,467787.62
Renault,Grand Scenic,2012,Universal,180000.0,1500.0,Diesel,Manual,7499.0,18000.0,medium,0.6,467787.62
BMW,X5,2012,SUV,157000.0,3000.0,Petrol,Automatic,17499.0,15700.0,medium,0.9,1091587.62
Renault,Talisman,2016,Sedan,151130.0,1500.0,Diesel,Manual,12499.0,25188.33333333333,large,0.6,779687.62
